Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.223233233,0.872,34.75609756,15.29654781,0.013481366,0.00211903,0.140296203,0.049247932,7.865596819,4.217667576,0.483092044,0.136819319,0.169378288,0.13529016,15.08063782
distributed,0,0,1,0.246588963,0.8425,1,0,0.013343931,0.006070854,0.131120214,0.056022065,nan,nan,nan,nan,nan,nan,15.02427102
distributed,0,0,2,0.234369183,0.8553,1.989247312,0.144304893,0.013916666,0.004842487,0.13294126,0.048804086,nan,nan,nan,nan,nan,nan,15.10289187
distributed,0,0,3,0.23004741,0.8632,2.98467433,0.235915222,0.013857572,0.003659097,0.129253935,0.051773578,nan,nan,nan,nan,nan,nan,14.99678594
distributed,0,0,5,0.226460348,0.8656,4.979057592,0.63224759,0.012965118,0.002865805,0.128894279,0.052606031,nan,nan,nan,nan,nan,nan,15.02980708
distributed,0,0,7,0.225305447,0.8693,6.965292842,0.763385782,0.013210433,0.003199164,0.131400913,0.056903399,nan,nan,nan,nan,nan,nan,14.9677676
distributed,0,0,10,0.224599109,0.8702,9.953095685,1.593997003,0.012981248,0.002699783,0.145696335,0.051746535,nan,nan,nan,nan,nan,nan,15.02935584
distributed,0,0,20,0.223393977,0.8725,19.94736842,4.242640687,0.013259372,0.002047078,0.140146568,0.062792551,nan,nan,nan,nan,nan,nan,15.08974529
distributed,0,0,30,0.2231418,0.8732,29.93111639,7.233870948,0.013244422,0.002054631,0.133041448,0.05551597,nan,nan,nan,nan,nan,nan,15.07392506
distributed,0,1,-1,0.228210125,0.8656,7.733905579,2.573025046,0.013306427,0.003582559,0.126998289,0.059182309,15.98967827,3.347787515,1.419524985,0.272214227,0.9410638,0.259514845,14.92385181
distributed,0,1,1,0.246994285,0.8472,1,0,0.012493911,0.006110667,0.136469494,0.046329935,nan,nan,nan,nan,nan,nan,15.04530388
distributed,0,1,2,0.234437297,0.8556,1.989473684,0.142826138,0.01413728,0.00557308,0.12804935,0.053320949,nan,nan,nan,nan,nan,nan,14.99335669
distributed,0,1,3,0.231140859,0.8602,2.984063745,0.303155264,0.013222823,0.00374374,0.138247869,0.047505835,nan,nan,nan,nan,nan,nan,15.0815214
distributed,0,1,5,0.228364589,0.8657,4.978082192,0.474514861,0.013444839,0.002604667,0.133960718,0.050093157,nan,nan,nan,nan,nan,nan,14.81516303
distributed,0,1,7,0.227832874,0.8645,6.961373391,0.862020641,0.013586447,0.00287699,0.128053769,0.046193712,nan,nan,nan,nan,nan,nan,15.03420732
distributed,0,1,10,0.22839867,0.8662,9.967391304,1.656013971,0.013030593,0.002628467,0.14045275,0.058128386,nan,nan,nan,nan,nan,nan,15.11187644
distributed,0,1,20,0.229389268,0.8677,19.85411141,3.173070448,0.013173655,0.001629599,0.127779757,0.062035762,nan,nan,nan,nan,nan,nan,14.86493677
distributed,0,1,30,0.232493508,0.8629,29.81578947,5.337369658,0.013373846,0.001308047,0.136309212,0.054612139,nan,nan,nan,nan,nan,nan,15.0474093
distributed,0,1,50,0.235486485,0.8635,49.7662989,10.42715798,0.012572528,0.001693247,0.112067482,0.047896419,nan,nan,nan,nan,nan,nan,15.15760228
distributed,0,1,70,0.236315796,0.8623,69.22960725,21.09048586,0.013209634,0.001236582,0.128290194,0.050252975,nan,nan,nan,nan,nan,nan,15.03259652
distributed,0,1,100,0.245047105,0.8568,99.80239521,36.89512163,0.014125067,0.002612743,0.153803205,0.057571376,nan,nan,nan,nan,nan,nan,15.0814236
distributed,0,2,-1,0.222987137,0.8748,98.72189349,45.86763565,0.01314109,0.002617121,0.115135651,0.04610308,1.00E-05,0,5.75E-17,2.31E-17,0,0,14.95811041
distributed,0,2,1,0.247437346,0.8451,1,0,0.01302978,0.006969678,0.135753281,0.051633276,nan,nan,nan,nan,nan,nan,14.87830616
distributed,0,2,2,0.235665351,0.8526,1.99009901,0.138648388,0.012874615,0.004905229,0.12135536,0.057781556,nan,nan,nan,nan,nan,nan,14.98664393
distributed,0,2,3,0.230185814,0.8631,2.984615385,0.298065387,0.013817548,0.00424668,0.128104192,0.05103714,nan,nan,nan,nan,nan,nan,14.89707606
distributed,0,2,5,0.226429789,0.8663,4.979591837,0.6244998,0.013165297,0.00310553,0.127363585,0.055647371,nan,nan,nan,nan,nan,nan,15.29903132
distributed,0,2,7,0.225514531,0.8684,6.965065502,0.939943074,0.012999996,0.00240807,0.131701333,0.056097396,nan,nan,nan,nan,nan,nan,14.81739442
distributed,0,2,10,0.224950952,0.8718,9.969594595,1.602705318,0.013045906,0.002393698,0.119189146,0.058259145,nan,nan,nan,nan,nan,nan,15.03394881
distributed,0,2,20,0.223881195,0.8734,19.90765172,3.028030347,0.013230755,0.001407712,0.125010491,0.053301754,nan,nan,nan,nan,nan,nan,14.8332786
distributed,0,2,30,0.223593964,0.875,29.73015873,6.031309223,0.013021559,0.001414743,0.116998357,0.042019184,nan,nan,nan,nan,nan,nan,14.98291309
distributed,0,2,50,0.223084833,0.8737,49.89705882,14.38363267,0.013853558,0.003059849,0.131575941,0.051493605,nan,nan,nan,nan,nan,nan,15.08440734
distributed,0,2,70,0.223214749,0.8728,69.79145473,22.65493531,0.013338286,0.002248821,0.124611282,0.039790952,nan,nan,nan,nan,nan,nan,14.95342866
distributed,0,2,100,0.222945683,0.8748,98.6476378,34.40526446,0.013277463,0.000726472,0.143824057,0.053706809,nan,nan,nan,nan,nan,nan,15.11738412
distributed,0,3,-1,0.227522212,0.8671,9.084168337,3.035773939,0.01334338,0.002106164,0.134193593,0.055123152,15.62260925,4.061549301,1.187834759,0.241504685,0.782825818,0.215920379,15.11097146
distributed,0,3,1,0.246710827,0.844,1,0,0.014088828,0.006838455,0.132634245,0.051666992,nan,nan,nan,nan,nan,nan,15.25919958
distributed,0,3,2,0.234917987,0.8553,1.989010989,0.14583052,0.013722852,0.005095326,0.136931476,0.053918532,nan,nan,nan,nan,nan,nan,15.08800013
distributed,0,3,3,0.230257775,0.8607,2.985130112,0.293223386,0.013067596,0.003653586,0.128732808,0.047545769,nan,nan,nan,nan,nan,nan,15.2213753
distributed,0,3,5,0.227449512,0.8654,4.979328165,0.628337906,0.012964487,0.003088052,0.128773233,0.050764743,nan,nan,nan,nan,nan,nan,15.19055769
distributed,0,3,7,0.227148015,0.867,6.960784314,0.868241168,0.012761121,0.002755137,0.133836625,0.05954547,nan,nan,nan,nan,nan,nan,14.86404006
distributed,0,3,10,0.227311095,0.8684,9.937728938,1.352906923,0.01298542,0.002472761,0.146588775,0.05724974,nan,nan,nan,nan,nan,nan,15.19684673
distributed,0,3,20,0.227803564,0.8687,19.92597577,4.082160803,0.013138115,0.001643759,0.127868405,0.049733122,nan,nan,nan,nan,nan,nan,14.79949161
distributed,0,3,30,0.228883496,0.8688,29.74352941,6.321040702,0.012736396,0.002174538,0.138156337,0.055731336,nan,nan,nan,nan,nan,nan,15.21102822
distributed,0,3,50,0.233709249,0.8684,49.89135255,14.7,0.013426645,0.002350296,0.144262125,0.053988318,nan,nan,nan,nan,nan,nan,15.02693402
distributed,0,3,70,0.233513729,0.8661,69.27361564,21.98726904,0.013375378,0.001056365,0.155476667,0.04030152,nan,nan,nan,nan,nan,nan,14.89506328
distributed,0,3,100,0.237322222,0.8658,98.12390244,32.94555694,0.013636503,0.002257189,0.13668342,0.05493925,nan,nan,nan,nan,nan,nan,14.86385891
distributed,1,0,-1,0.223064325,0.8723,36.24725944,16.08018409,0.012866521,0.002182087,0.144260571,0.050305652,7.397585359,3.499439692,0.475326377,0.109973856,0.158951936,0.147149847,15.23366905
distributed,1,0,1,0.246634214,0.8445,1,0,0.012721296,0.006968188,0.132609292,0.047748136,nan,nan,nan,nan,nan,nan,14.82371995
distributed,1,0,2,0.233367121,0.8573,1.989795918,0.140690791,0.013264986,0.004371404,0.124778773,0.050028868,nan,nan,nan,nan,nan,nan,14.94219036
distributed,1,0,3,0.230126898,0.8604,2.984496124,0.237238706,0.013877148,0.004045522,0.131929477,0.052526687,nan,nan,nan,nan,nan,nan,15.04580417
distributed,1,0,5,0.226899584,0.8662,4.972451791,0.573489059,0.013421748,0.003222338,0.136988972,0.05514836,nan,nan,nan,nan,nan,nan,14.94858919
distributed,1,0,7,0.225942989,0.8656,6.973626374,0.741186352,0.01322668,0.002721898,0.136659192,0.054380141,nan,nan,nan,nan,nan,nan,14.98583842
distributed,1,0,10,0.224726653,0.8707,9.936567164,1.364726837,0.013671391,0.002197841,0.140069431,0.048771224,nan,nan,nan,nan,nan,nan,15.00972745
distributed,1,0,20,0.223284013,0.8728,19.86357616,3.125471694,0.013117222,0.00148892,0.127444332,0.047177588,nan,nan,nan,nan,nan,nan,14.92624661
distributed,1,0,30,0.223535978,0.8722,29.78824969,6.746999157,0.013359246,0.001130847,0.146592051,0.057263123,nan,nan,nan,nan,nan,nan,15.14877246
distributed,1,0,50,0.223238643,0.8747,49.8478489,14.23769708,0.01237789,0.002006081,0.129362265,0.045539365,nan,nan,nan,nan,nan,nan,15.02797628
distributed,1,0,70,0.222747785,0.8734,69.25979381,17.23433266,0.012234629,0.003172373,0.146606316,0.065230879,nan,nan,nan,nan,nan,nan,14.86910153
distributed,1,0,100,0.222912112,0.8732,99.80239521,36.89512163,0.014057185,0.0018152,0.136852192,0.046668724,nan,nan,nan,nan,nan,nan,15.0975077
distributed,1,1,-1,0.228148459,0.8641,7.851441242,2.38110851,0.013152435,0.002990608,0.14111705,0.048250357,15.57408239,2.585820536,1.45606953,0.255056555,0.957798497,0.239994689,15.05721472
distributed,1,1,1,0.245603682,0.8449,1,0,0.013686154,0.00724415,0.126101469,0.053350996,nan,nan,nan,nan,nan,nan,14.81748801
distributed,1,1,2,0.235525049,0.8542,1.989010989,0.14583052,0.012771311,0.00472721,0.141798791,0.050817794,nan,nan,nan,nan,nan,nan,15.36757466
distributed,1,1,3,0.230484209,0.8607,2.984962406,0.294811092,0.0127841,0.004347572,0.129741027,0.055814031,nan,nan,nan,nan,nan,nan,15.07261227
distributed,1,1,5,0.227959492,0.8648,4.979328165,0.628337906,0.012350401,0.002837309,0.127850978,0.049689909,nan,nan,nan,nan,nan,nan,14.87784248
distributed,1,1,7,0.228081133,0.8642,6.974137931,1.013746349,0.013249644,0.002542882,0.133219442,0.054034337,nan,nan,nan,nan,nan,nan,15.18558262
distributed,1,1,10,0.227636699,0.8666,9.967391304,1.656013971,0.013456498,0.002676319,0.137355711,0.05871664,nan,nan,nan,nan,nan,nan,15.21289777
distributed,1,1,20,0.229348179,0.8665,19.8772846,3.731956591,0.012824912,0.001430312,0.12410712,0.05207599,nan,nan,nan,nan,nan,nan,14.91895855
distributed,1,1,30,0.231346723,0.8666,29.87327189,5.214935815,0.012987997,0.001547769,0.129646697,0.050375905,nan,nan,nan,nan,nan,nan,15.09330837
distributed,1,1,50,0.236109413,0.8612,49.55626327,10.7559286,0.012811206,0.001226721,0.133120962,0.049283097,nan,nan,nan,nan,nan,nan,14.91381303
distributed,1,1,70,0.237869008,0.8603,68.962,20.09664151,0.012850501,0.001196251,0.13609952,0.043663013,nan,nan,nan,nan,nan,nan,14.83183868
distributed,1,1,100,0.242999919,0.8544,98.030185,32.63806146,0.013172644,0.000778388,0.120735184,0.046311227,nan,nan,nan,nan,nan,nan,15.03345657
distributed,1,2,-1,0.222918029,0.8739,97.672,43.29584983,0.012575649,0.001955017,0.142096768,0.035799761,1.00E-05,0,5.75E-17,3.05E-17,0,0,14.82203372
distributed,1,2,1,0.250321981,0.8399,1,0,0.013598937,0.006738797,0.135321572,0.056435377,nan,nan,nan,nan,nan,nan,15.04097146
distributed,1,2,2,0.234433438,0.8549,1.989473684,0.142826138,0.013809933,0.004845036,0.130193896,0.048084392,nan,nan,nan,nan,nan,nan,15.116289
distributed,1,2,3,0.230867849,0.8623,2.984251969,0.3014298,0.012789228,0.003646306,0.139442921,0.06675621,nan,nan,nan,nan,nan,nan,15.27645958
distributed,1,2,5,0.226436534,0.8656,4.98034398,0.613393834,0.012726827,0.002963678,0.118303414,0.052404511,nan,nan,nan,nan,nan,nan,14.99249912
distributed,1,2,7,0.227861179,0.8648,6.974522293,1.006594513,0.01305002,0.002348566,0.129992201,0.056984767,nan,nan,nan,nan,nan,nan,15.16866903
distributed,1,2,10,0.22470981,0.8709,9.953617811,1.22696966,0.013041634,0.002082784,0.141903041,0.06532956,nan,nan,nan,nan,nan,nan,14.90932331
distributed,1,2,20,0.223737279,0.8717,19.87566138,3.085245156,0.013182341,0.001478098,0.127775213,0.047955721,nan,nan,nan,nan,nan,nan,14.98516102
distributed,1,2,30,0.223905811,0.8714,29.69806763,5.721021171,0.013459993,0.001169634,0.139316886,0.050573323,nan,nan,nan,nan,nan,nan,15.10941626
distributed,1,2,50,0.222936512,0.8747,49.89705882,14.38363267,0.012390109,0.002452022,0.141887804,0.05241067,nan,nan,nan,nan,nan,nan,14.99816397
distributed,1,2,70,0.2231773,0.874,68.73149062,18.52268457,0.011961254,0.003194493,0.153537654,0.058069743,nan,nan,nan,nan,nan,nan,15.3690168
distributed,1,2,100,0.22306787,0.8732,97.94460641,32.33709171,0.012901856,0.000986529,0.118351482,0.044020236,nan,nan,nan,nan,nan,nan,14.98902531
distributed,1,3,-1,0.228702738,0.8664,8.864476386,2.961157802,0.013283156,0.003057653,0.134983131,0.055095202,16.46245289,10.10248677,1.198469836,0.236241872,0.826567828,0.330590903,15.09268303
distributed,1,3,1,0.248345515,0.8425,1,0,0.013114451,0.007196234,0.138048847,0.055305671,nan,nan,nan,nan,nan,nan,14.96516653
distributed,1,3,2,0.235232943,0.8541,1.989130435,0.145061694,0.013001943,0.005289584,0.135273889,0.057029361,nan,nan,nan,nan,nan,nan,14.97815579
distributed,1,3,3,0.22941352,0.8623,2.986062718,0.284207191,0.012832579,0.004284644,0.116068008,0.055615176,nan,nan,nan,nan,nan,nan,14.95054517
distributed,1,3,5,0.228222275,0.8652,4.977591036,0.652952071,0.013368539,0.003109208,0.142788698,0.049687841,nan,nan,nan,nan,nan,nan,15.14946832
distributed,1,3,7,0.227308338,0.8668,6.964523282,0.94681817,0.013109733,0.002471717,0.136910927,0.044913954,nan,nan,nan,nan,nan,nan,14.9625904
distributed,1,3,10,0.227078233,0.8687,9.945848375,1.483882839,0.013408586,0.00267255,0.134200633,0.058748815,nan,nan,nan,nan,nan,nan,14.92837645
distributed,1,3,20,0.228499474,0.8671,19.94878706,4.190876412,0.01323697,0.00163723,0.139999743,0.055576227,nan,nan,nan,nan,nan,nan,15.15652963
distributed,1,3,30,0.22924418,0.8681,29.7957497,6.641703262,0.013297693,0.001474424,0.127702107,0.04870831,nan,nan,nan,nan,nan,nan,15.05615812
distributed,1,3,50,0.232330927,0.8682,49.39562842,12.91462349,0.013939472,0.002509431,0.136071904,0.047515385,nan,nan,nan,nan,nan,nan,15.01538866
distributed,1,3,70,0.23801798,0.8673,69.85947047,22.81960506,0.012880334,0.003490325,0.136453435,0.065465046,nan,nan,nan,nan,nan,nan,15.22893392
distributed,1,3,100,0.243885633,0.8619,98.99192735,28.31785349,0.013073174,0.00134661,0.125557751,0.061004048,nan,nan,nan,nan,nan,nan,14.63607508
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.24698656,0.8466,16.3553719,7.17565328,0.014072457,0.002040351,0.128984181,0.035082727,11.92032837,3.422652939,0.627874364,0.121041151,0.307548724,0.164658984,2.939346865
,,,,0.230422984,0.864094805,,,,,,,,,,,,,1217.372486
